MODELO;MARCA
NEW H1 GL 2.5;HYUNDAI
NEW OUTLANDER GL AUT;MITSUBISHI
XTRAIL CLASSIC 4X4 2.5 AT;NISSAN
FREELANDER 2 HSE 3.2;LAND ROVER
SPORTAGE PRO II LX DAB 4X4 2.0;KIA MOTORS
SANTA FE GLS FULL 4X4 2.2 AUT;HYUNDAI
DURANGO 5.7 AUT;DODGE
TUCSON GLB 2.0;HYUNDAI
PILOT EX L 3.5 AUT;HONDA
GRAND NOMADE SPORT 4X4 3.2 AT;SUZUKI
MURANO FULL 4X4 3.5 AUT;NISSAN
4RUNNER SR5 4WD 4.0 AUT;TOYOTA
WRANGLER UNLIMITED 3.8;JEEP
TUCSON GL 4X4 2.0 AUT;HYUNDAI
SOUL LX DAB 1.6 AUT;KIA MOTORS
COMPASS SPORT 2.4;JEEP
SANTA FE GL 2.7 AUT;HYUNDAI
XTRAIL CLASSIC 2.5 AT;NISSAN
N MONTERO 4X4 3.2 AUT;MITSUBISHI
CX 7 GT 2.3;MAZDA
NEW GRAND CHEROKEE 4X4 5.7 AUT;JEEP
SCORPIO GLX 4X4 2.5;MAHINDRA
ZAFIRA ESSENTIA 1.8;CHEVROLET
SPORTAGE PRO II GLS 2.0;KIA MOTORS
GRAND VITARA  IV GLX SPORT 1.6;SUZUKI
SANTA FE GLS FULL 4X4 2.7 AUT;HYUNDAI
NEW OUTLANDER K2 2.4;MITSUBISHI
PALIO WEEKEND TREKKING 1.4;FIAT
SPORTAGE PRO II LX 2.0 AUT;KIA MOTORS
NEW KYRON 2.3;SSANGYONG
CAPTIVA LT AWD 2.0 AT;CHEVROLET
FORESTER 2.0 AUT;SUBARU
SAFE 2.2;GREAT WALL
DEFENDER 110 PUMA;LAND ROVER
XC 60 D5 COMFORT;VOLVO
NEW CARNIVAL LX 2.7;KIA MOTORS
ALL NEW OUTBACK 3.6R AWD AUT;SUBARU
NEW II SORENTO VGT EX DAB 2.5;KIA MOTORS
LAND CRUISER PRADO VX LTD 4.0;TOYOTA
JOURNEY SE LX 2.4 AT;DODGE
DURANGO LIMITED 4X4 5.7 AUT;DODGE
GRAND CHEROKEE LIMITED 4.7 AUT;JEEP
EXPLORER II XLT 4.0;FORD
CX 9 GT AWD;MAZDA
QASHQAI 4X4 2.0;NISSAN
TRIBECA 3.6R AWD LIMITED AUT;SUBARU
JOURNEY SE LX 2.4 AUT;DODGE
MONTERO SPORT FULL 2;MITSUBISHI
NEW TUCSON GL 4WD 2.0 AT;HYUNDAI
X3 2.5;BMW
NEW ECOSPORT XLS PLUS 1.6;FORD
TOWN COUNTRY 3.8 AUT;CHRYSLER
SANTA FE GLS 2.7 AUT;HYUNDAI
REIN CE 2.0;JAC
KOLEOS DYNAMIQUE 4X4 2.5 AT;RENAULT
SPORTAGE PRO LX;KIA MOTORS
TERIOS ADVANTAGE 1.5 AUT;DAIHATSU
MOHAVE EX 4X4 3.0 AUT;KIA MOTORS
GRAND NOMADE GLX SPORT 4X4 2.0 AT;SUZUKI
REIN LE 2.0;JAC
XC60 PLUS;VOLVO
ACTYON XDI 2.0;SSANGYONG
SAFE 4X4 2.2;GREAT WALL
NEW CARENS LX CRDI DAB 2.0;KIA MOTORS
GRAND NOMADE GLX 4X4 1.9;SUZUKI
ZHONGYI 970 CC;HAFEI
WRANGLER UNLIMITED 2.8 AUT;JEEP
SPORTAGE II LX DAB 2.0;KIA MOTORS
SPORTAGE PRO II LX DAB;KIA MOTORS
XTRAIL S 4X4 2.5 AT;NISSAN
X5 4.8;BMW
X5 3.0;BMW
GRAND NOMADE GLX SPORT 4X4 2.0;SUZUKI
VERACRUZ GLS CRDI 4X4 3.0 AUT;HYUNDAI
MONTERO SPORT G2 GLS 3.2 AUT;MITSUBISHI
SORENTO FULL 4X4 2.2 AUT;KIA MOTORS
CARNIVAL 2.7 AUT;KIA MOTORS
LAND CRUISER PRADO FULL 4X4 AUT;TOYOTA
ESCAPE XLT;FORD
X3 3.0;BMW
SPORTAGE PRO II LX DAB 4X4;KIA MOTORS
LAND CRUISER PRADO LTD 4X4 4.0 AUT;TOYOTA
THAOE LT II 4WD 5.3 AT;CHEVROLET
GRAND CARNIVAL EX LTD 2.9 AUT;KIA MOTORS
SPORTAGE 2.0 AUT;KIA MOTORS
HUNTER FULL 1.5;ZOTYE
GRAND TOWN COUNTRY LX 3.8 AUT;CHRYSLER
NEW GRAND CHEROKEE LAREDO 3.7;JEEP
VERACRUZ GLS 4X4 3.8 AUT;HYUNDAI
MOHAVE EX FULL 4X4 3.8 AUT;KIA MOTORS
CHEROKEE LIBERTY SPORT 3.7 AT;JEEP
NEW OUTLANDER GL;MITSUBISHI
MONTERO SPORT G2 GLS 3.2;MITSUBISHI
X TRAIL 4WD 2.5;NISSAN
KOLEOS 4X4 2.5 AUT;RENAULT
NEW SORENTO EX 2.4;KIA MOTORS
REIN 2.0;JAC
SOUL 1.6 AUT;KIA MOTORS
SPORTAGE PRO II DAB 2.0;KIA MOTORS
GRAND CARNIVAL EX 2.9 AUT;KIA MOTORS
X3 2.0 AUT;BMW
X5 3.0 AUT;BMW
XTRAIL CLASSIC 4X4 2.5;NISSAN
NEW ECOSPORT XLS 1.6;FORD
X5 XD RIVE 3.0 AUT;BMW
GRAND CHEROKEE LIMITED 4X4 3.0;JEEP
CARNIVAL LX DAB 2.7;KIA MOTORS
C4 PICASSO HDI 2.0;CITROEN
ACTYON CRDI 2.0;SSANGYONG
GRAND CARNIVAL LX 2.9;KIA MOTORS
ALL NEW OUTBACK 2.5I AWD CVT AUT;SUBARU
SORENTO EX 4X4 2.2 AT;KIA MOTORS
SANTA FE FL GLS CRDI 4X4 2.2;HYUNDAI
SORENTO II EX VGT 4X4 2.5 AUT;KIA MOTORS
WRANGLER UNLIMITED 4X4 2.8;JEEP
CX 9 GT 3.7 AT;MAZDA
DEFENDER 110;LAND ROVER
MONTERO 3.2 AUT;MITSUBISHI
PILOT 4X4 3.5 AUT;HONDA
MONTERO SPORT 4X4 2.5;MITSUBISHI
ACTYON 4X4 2.0;SSANGYONG
NEW GRAND CHEROKEE 3.0;JEEP
X TRAIL XL 2.5;NISSAN
GRAND CHEROKEE LIMITED 4.7;JEEP
COMMANDER 3.7;JEEP
ML300 CDI BLUE EFFICIENCY;MERCEDES BENZ
XC 90 D5 AWD;VOLVO
NEW 4RUNNER SR5 LTD 4X4 4.0 AUT;TOYOTA
CAPTIVA 2.4;CHEVROLET
LAND CRUISER 4X4 4.0 AUT;TOYOTA
SPORTAGE PRO II LX;KIA MOTORS
OUTLANDER K2 3.0 AUT;MITSUBISHI
NEW KYRON 2.3 AT;SSANGYONG
NEW OUTLANDER K2 GL 2.4;MITSUBISHI
EXPLORER XLT 4X4 4.6 AUT;FORD
DURANGO LIMITED;DODGE
REXTON II XVT 4X4 2.7 AUT;SSANGYONG
ALL NEW OUTBACK 2.5I AWD CVT XS AUT;SUBARU
NEW EXPLORER EDDIE BAUER 4X4 4.6;FORD
ALL NEW OUTBACK 2.5I AWD;SUBARU
XC60 T6;VOLVO
ALL NEW LEGACY 2.0I AWD CVT XV;SUBARU
X5 4.8 AUT;BMW
NEW 4RUNNER 4X4 4.0 AUT;TOYOTA
UPLANDER LS VAN 3.9;CHEVROLET
YUMSUN FULL 2.0;DONGFENG
ALL NEW OUTBACK 2.5I AWD XV AUT;SUBARU
XL7 4WD 3.6 AT;SUZUKI
CHEROKEE LIMITED 3.7 AUT;JEEP
REXTON II CRDI 4X4 2.7;SSANGYONG
KYRON CRDI 4X4 2.0 AUT;SSANGYONG
CAPTIVA LT 4X4 2.0;CHEVROLET
NEW OUTBACK 3.6R AWD AUT;SUBARU
MONTERO CR 4X4 3.2 AUT;MITSUBISHI
LAND CRUISER 4WD 4.0 AUT;TOYOTA
NEW KYRON XDI FULL 4X4 2.0 AT;SSANGYONG
GRAND NOMADE SPORT 3.2 AT;SUZUKI
MONTERO SPORT 4X4 2.5 AUT;MITSUBISHI
QASHQAI CVT 4X4 2.0;NISSAN
REXTON II CRDI 2.7;SSANGYONG
MONTERO CR 3.2;MITSUBISHI
XC90 AWD 3.2;VOLVO
DURANGO SLT LX 4X4 5.7;DODGE
ACTYON 2.0;SSANGYONG
GRAND TOWN COUNTRY TOURING 3.8 AUT;CHRYSLER
PATRIOT SPORT 4X4 2.4 AT;JEEP
GRAND VITARA GLX SPORT 4X4 2.4 AUT;SUZUKI
X5 IA 4.8 AUT;BMW
NEW FORESTER 2.0 AWD XS AUT;SUBARU
TERIOS 1.5 AUT;DAIHATSU
CAPTIVA 2.0;CHEVROLET
SPORTAGE PRO EX 2.0;KIA MOTORS
NEW MONTERO 4X4 3.2 AUT;MITSUBISHI
CX9 GT SIX PASSENGER EDITION 4X4;MAZDA
XTRAIL 4WD 2.5 AUT;NISSAN
GRAND NOMADE GLX 1.9;SUZUKI
ACTION 2.3;SSANGYONG
XTRAIL FULL 4WD 2.5 AUT;NISSAN
NITRO 3.7 AUT;DODGE
WRANGLER UNLIMITED RUBICON 3.8;JEEP
G CHEROKEE 5.7 AUT;JEEP
EDGE SE AWD 3.5 AUT;FORD
X6 XDRIVE50I 4.4 AUT;BMW
RUNNER 4.0 AUT;TOYOTA
MONTERO SPORT 3.0 AUT;MITSUBISHI
SANTA FE 4X4 2.7 AUT;HYUNDAI
PATRIOT 2.4;JEEP
PATRIOT SPORT 2.4 AT;JEEP
GRAND VITARA IV GLX 1.6;SUZUKI
ALL NEW OUTBACK 2.5 AWD LTD;SUBARU
QASHQAI FULL 2.0 AUT;NISSAN
CALIBER SXT 2.0 AUT;DODGE
JOURNEY SE 2.4;DODGE
SANTA FE FL GLS 4WD 2.4 AUT;HYUNDAI
ACTYON S 2.3;SSANGYONG
CX 9 AT;MAZDA
EXPLORER EDDIE BAUER 4X4 4.6 AUT;FORD
NEW KYRON 2.0 AUT;SSANGYONG
FREELANDER 2 2.2;LAND ROVER
MONTERO 3.2;MITSUBISHI
NEW KYRON 4X4 2.0 AT;SSANGYONG
SORENTO II EX FULL 4X4 2.5 AUT;KIA MOTORS
HOVER SE 2.4;GREAT WALL
WRANGLER UNLIMITED RUBICON 3.8 AUT;JEEP
HOVER LE 4X4 2.4;GREAT WALL
NITRO SLT 4X4 3.7 AUT;DODGE
MONTERO SPORT GL 4X4 2.5;MITSUBISHI
C4 GRAN PICASSO 2.0 AUT;CITROEN
X TRAIL X LTD 4X4 2.5 AUT;NISSAN
MONTERO SPORT 2.5 AT;MITSUBISHI
ALL NEW OUTBACK 2.5I AWD XS;SUBARU
REXTON II XDI 2.7 AUT;SSANGYONG
HOVER;GREAT WALL
QASHQAI FULL 2.0;NISSAN
TUCSON GL 4WD 2.0;HYUNDAI
OUTSIDER FULL 1.3;AUTORRAD
GRAND NOMADE GLX 4X4 2.0;SUZUKI
SANTA FE GLS 4X4 2.2 AUT;HYUNDAI
ESCAPE XLT 4X4 2.5 AUT;FORD
DURANGO LIMITED 4X4 5.7;DODGE
NEW FORESTER 2.0 AWD;SUBARU
GRAND NOMADE GLX SPORT 3.2 AUT;SUZUKI
SPORTAGE PRO II LX DAB 2.0 AUT;KIA MOTORS
C5 BK N2C HDI 2.0 AUT;CITROEN
CAYENNE TURBO 4.8 TIPTRONIC;PORSCHE
GRAND CHEROKEE LAREDO 3.0;JEEP
4 RUNNER LIMITED 4X4;TOYOTA
NEW TUCSON GL CRDI 4X4 2.0 AUT;HYUNDAI
GRAND VITARA 4X4 2.4 AUT;SUZUKI
CAPTIVA LT 2.0;CHEVROLET
C4 PICASSO 1.6;CITROEN
SORENTO EX FULL 4X4 2.2 AUT;KIA MOTORS
CX 9 GT 4X4;MAZDA
DURANGO 4X4 5.7 AUT;DODGE
4RUNNER SR5 LIMITED 4X4 4.0 AUT;TOYOTA
X1 2.8I ST 3.0 AUT;BMW
SANTA FE FL GLS CRDI 4WD 2.2 AUT;HYUNDAI
GRAND CARNIVAL FULL AUT;KIA MOTORS
PATHFINDER 2.5 AUT;NISSAN
COMPASS LIMITED 4X4 2.4 AUT;JEEP
REXTON CRDI 2.7 AT;SSANGYONG
FORESTER 2.0 AWD XS AT;SUBARU
WEEKEND TREKKING 1.4;FIAT
OPTRA XL 1.6;CHEVROLET
SANTA FE GLS CRDI 4X4 2.2;HYUNDAI
SPORTAGE PRO II LX 4X4 2.0 AUT;KIA MOTORS
ZAFIRA II ESSENTIA 1.9;CHEVROLET
GRAND NOMADE 4X4 2.0;SUZUKI
4RUNNER 4X4 4.0;TOYOTA
GRAND CHEROKEE LIMITED 3.0 AUT;JEEP
X3 3.0 AUT;BMW
NEW SCORPIO SUV GLX TURBO 4X4 2.2;MAHINDRA
MURANO 4X4 3.5 AUT;NISSAN
X TRAIL X 4X4;NISSAN
X TRAIL S 4X4 AT;NISSAN
MURANO LE 4X4 3.5 HIPERTRONICA;NISSAN
TAHOE LT II 4WD 5.3 AUT;CHEVROLET
REXTON II XDI 4X4 2.7 AUT;SSANGYONG
XTRAIL FULL 4X4 2.5 AUT;NISSAN
ML 350 CDI;MERCEDES BENZ
X TRAIL CLASSIC 2.5;NISSAN
NEW XL7 GLX 4WD 3.6 AT;SUZUKI
KYRON 4X4 2.0;SSANGYONG
GRAND CARNIVAL LIMITED 2.9 AT;KIA MOTORS
PARATI CROSSOVER 1.8;VOLKSWAGEN
TRAILBLAZER II 4WD 4.2;CHEVROLET
TAHOE LT 5.3;CHEVROLET
NEW TUCSON GLS 4WD 2.0 AUT;HYUNDAI
X TRAIL X 2.5;NISSAN
GRAND VITARA GLX SPORT;SUZUKI
VERACRUZ GLS FULL 4X4 3.8 AUT;HYUNDAI
NEW ESCAPE XLT 4X4 2.5 AUT;FORD
VERACRUZ 4X4 3.0 AUT;HYUNDAI
X1 XDRIVE 2.0;BMW
XC 60 D5;VOLVO
X1 28I 3.0 AUT;BMW
NEW TUCSON GL 4X4 2.0 AUT;HYUNDAI
WRANGLER UNLIMITED 2.8 AT;JEEP
CAPTIVA LTZ AWD 2.0 AUT;CHEVROLET
EXPERT TEPEE CONFORT HDI 1.6;PEUGEOT
TRAVERSE LT SU AWD 3.6 AUT;CHEVROLET
ALL NEW OUTBACK 2.5I AWD AUT;SUBARU
TIGGO 2.0;CHERY
H3 4X4 3.7;HUMMER
FORESTER 2.0 AWD XS AUT;SUBARU
LAND CRUSIER PRADO 4X4 4.0 AUT;TOYOTA
WRANGLER UNLIMITED SAHARA 2.8;JEEP
CX7 FULL 2.5 AT;MAZDA
JOURNEY 2.4;DODGE
KOLEOS 2.5 AUT;RENAULT
ML 320 CDI 3.0;MERCEDES BENZ
SANTA FE GLS 4WD 2.7 AT;HYUNDAI
GLK 280 OFF ROAD;MERCEDES BENZ
HOVER LE 2.4;GREAT WALL
GRAND NOMADE IV GLX 2.0;SUZUKI
VERACRUZ GLS 3.8 AUT;HYUNDAI
ML 320 CDI;MERCEDES BENZ
X3 SI 2.5 AUT;BMW
COMPASS LIMITED 4X4 2.4 AT;JEEP
GRAND TOWN Y COUNTRY TOURING 3.8;CHRYSLER
XC60 T6 4X4 3.0 AUT;VOLVO
TAHOE LT SU 4WD 5.3 AT;CHEVROLET
REXTON XDI 4X4 2.7 AUT;SSANGYONG
NEW FORESTER 2.0 AWD AT;SUBARU
RAV4 LUJO 2.4 AUT;TOYOTA
KOLEOS DINAMIQUE 4X4 2.5 AT;RENAULT
SPORTAGE PRO 2.0 AUT;KIA MOTORS
SANTA FE FL GLS 4X4 2.4 AUT;HYUNDAI
CARNIVAL LX DAB 2.7 AUT;KIA MOTORS
EDGE SEL;FORD
GRAND VITARA GLX SPORT 2.4;SUZUKI
ESCAPE XLT 2.5 AT;FORD
EXPLORER II XLT COMFORT;FORD
DISCOVERY 4 SE 2.7;LAND ROVER
SANTA FE 4X4 2.4 AUT;HYUNDAI
308 PREMIUM 1.6 AUT;PEUGEOT
STAVIC 2.7;SSANGYONG
308 CONFORT 1.6;PEUGEOT
STAVIC CRDI 2.7 AUT;SSANGYONG
4RUNNER 4X4 3.9 AUT;TOYOTA
NEW FORESTER 2.0 AWD XS LTD AT;SUBARU
GRAND VITARA  GLX SPORT 2.4 AUT;SUZUKI
LAND CRUISER PRADO 4X4 AUT;TOYOTA
X1 2.0;BMW
EDGE AWD 3.5 AT;FORD
FORESTER 2.0 AWD LIMITED AUT;SUBARU
MURANO 3.5;NISSAN
REXTON CRDI 2.7;SSANGYONG
MONTERO SPORT GL 4X4 3.0 AUT;MITSUBISHI
SORENTO EX 2.5;KIA MOTORS
NEW OUTLANDER K2 GLS 2.4;MITSUBISHI
MURANO LE 3.5 AUT;NISSAN
XC 60T6 COMFORT;VOLVO
H3 4X4 3.7 AUT;HUMMER
FORESTER 2.5 AWD;SUBARU
GRAND CARNIVAL LX 2.9 AUT;KIA MOTORS
SANTA FE FL CRDI 2.2;HYUNDAI
GRAND CARNIVAL LIMITED 2.9 AUT;KIA MOTORS
EXPLORER XLT 4X4 AUT;FORD
NEW OUTLANDER 2.4 AUT;MITSUBISHI
G CHEROKEE 6.1 AUT;JEEP
OUTLANDER K2 FULL 3.0;MITSUBISHI
EXPLORER II XLT 4.0 AUT;FORD
XTRAIL CLASSIC 4X4 2.5 AUT;NISSAN
MURANO LE CVT 4X4 3.5 AUT;NISSAN
WRANGLER RUBICON 3.8 AUT;JEEP
CX 9 GT AWD 3.7 AUT;MAZDA
X6 M 4.4 AUT;BMW
NEW PATHFINDER SE 4X4 2.5 AUT;NISSAN
MONTERO SPORT G2 GL 3.2;MITSUBISHI
JIMNY JX PS 1.3;SUZUKI
308 CONFORT PACK  1.6;PEUGEOT
GRAND NOMADE GLX SPORT 2.0 AT;SUZUKI
SORENTO EX FULL 4X4 2.4 AT;KIA MOTORS
STAVIC XDI 2.7;SSANGYONG
OUTLANDER K2 GL 2.4;MITSUBISHI
NEW KYRON 4X4 2.0 AUT;SSANGYONG
ALL NEW OUTBACK 2.5I 4X4 XV;SUBARU
SANTA FE FL GLS FULL 4WD 2.4 AUT;HYUNDAI
NEW TUCSON GL CRDI 4X4 2.0;HYUNDAI
ACTYON 2.3 AUT;SSANGYONG
X TRAIL CLASSIC 4WD 2.5 AUT;NISSAN
Q5 TDI 3.0;AUDI
CAPTIVA LT 2.0 AUT;CHEVROLET
X TRAIL X 4X4 2.5 HIPERTRONICA;NISSAN
PATHFINDER LE 4X4 2.5 AUT;NISSAN
NEW OUTBACK 2.5I AWD AUT;SUBARU
NEW TUCSON GLS 4X4 2.0 AUT;HYUNDAI
NEW SPORTAGE PRO II LX 4X4 2.0;KIA MOTORS
NEW OUTLANDER K2 FULL 3.0;MITSUBISHI
4RUNNER LTD 4X4 4.0 AUT;TOYOTA
ML 500;MERCEDES BENZ
4RUNNER LIMITED 4X4 4.0;TOYOTA
G CHEROKEE LIMITED 3.0 AUT;JEEP
ECOSPORT XLS;FORD
GRAND VITARA GLX SPORT 2.4 AT;SUZUKI
CX 9 GT 4X4 3.7 AUT;MAZDA
DURANGO SLT LX 4X4 5.7 AUT;DODGE
NEW CARENS LX GSL 2.0;KIA MOTORS
TUCSON GLS 2.0 AUT;HYUNDAI
FORESTER 2.0 AWD AUT;SUBARU
COMPASS LIMITED 4X4 2.4;JEEP
XC60T6 PLUS;VOLVO
MONTERO SPORT TURBO 2.5 AUT;MITSUBISHI
SANTA FE GLS CRDI 4WD 2.2 AUT;HYUNDAI
MATRIX GL 1.8 AUT;HYUNDAI
NEW H1 GL TCI 2.5;HYUNDAI
REXTON CRDI PS 2.7 AUT;SSANGYONG
NEW GRAND CHEROKEE LTD 4.7 AUT;JEEP
CX 7 GT 4X4 2.3 AT;MAZDA
SOUL LX;KIA MOTORS
GRAND CARNIVAL LX DAB 2.9 AUT;KIA MOTORS
FX 35 4X4 3.5;INFINITI
SORENTO EX FULL 4X4 2.4 AUT;KIA MOTORS
TUCSON GL CRDI 4X4 2.0 AUT;HYUNDAI
DURANGO 5.7;DODGE
X TRAIL CLASSIC 2.5 AUT;NISSAN
TUCSON 4X4 2.0;HYUNDAI
ACTYON CRDI 2.0 AT;SSANGYONG
QASHQAI 4X4;NISSAN
VERACRUZ GLS CRDI 4WD 3.0 AUT;HYUNDAI
TRAVERSE LT SU 3.6;CHEVROLET
PATHFINDER SE 4X4 2.5 AUT;NISSAN
SANTA FE FL GLS CRDI 4WD 2.2;HYUNDAI
MOHAVE EX FULL 4X4 3.0 AUT;KIA MOTORS
NEW KYRON 4X4 2.0;SSANGYONG
X1 2.8 AUT;BMW
CR V ER 4X4 2.4 AUT;HONDA
SORENTO 4X4 2.2;KIA MOTORS
GRAND CHEROKEE 3.7 AUT;JEEP
X1 SDRIVE 18I ST 2.0AUT;BMW
XV 2.0R AWD LIMITED AUT;SUBARU
PARTNER TEPEE OUTDOOR HDI 1.6;PEUGEOT
FREELANDER 2 S 3.2;LAND ROVER
SPORTAGE GSL 2.0;KIA MOTORS
REXTON CRDI 2.7 AUT;SSANGYONG
SOUL DAB 1.6 AUT;KIA MOTORS
NEW SCORPIO SUV  CRDE;MAHINDRA
TUCSON GL CRDI 2.0;HYUNDAI
OUTLANDER 2.4;MITSUBISHI
X TRAIL X 4X4 AT;NISSAN
ALL NEW OUTBACK 2.5 AWD XS;SUBARU
DURANGO 4.7;DODGE
REIN BE 2.0;JAC
GRAND NOMADE GLX 2.4 AUT;SUZUKI
GRAND CHEROKEE LIMITED 3.6 AUT;JEEP
SEQUOIA LIMITED 4X4 5.7 AUT;TOYOTA
OUTLANDER K2 GL 2.4 AUT;MITSUBISHI
CAYENNE S 4.8 TIPTRONIC;PORSCHE
GRAND NOMADE SPORT 2.0;SUZUKI
G TOWN COUNTRY LX 3.8 AT;CHRYSLER
SANTA FE GLS 4WD 2.2 AUT;HYUNDAI
N G CHEROKEE LTD SPORT 4X4 3.7 AUT;JEEP
NEW KYRON 2.3 AUT;SSANGYONG
STAVIC CRDI 2.7;SSANGYONG
CAPTIVA LT SU AWD 2.0 AT;CHEVROLET
NEW H1 GLS TCI 2.5;HYUNDAI
CAPTIVA LTZ 2.0 AT;CHEVROLET
NEW CARENS LX DAB 2.0;KIA MOTORS
EXPLORER XLT COMFORT 4.0 AUT;FORD
ESCAPE II XLT 4X4 2.5 AT;FORD
CX 9 GT SIX PASSENGER 4X4 3.7 AUT;MAZDA
XC70 PLUS;VOLVO
TOWN COUNTRY 3.8;CHRYSLER
SANTA FE GLS FULL 4WD 2.4 AT;HYUNDAI
CHEROKEE LIBERTY SPORT 2.8 AUT;JEEP
LAND CRUISER PRADO 4.0;TOYOTA
CAYENNE GTS;PORSCHE
ACTYON CRDI 2.3;SSANGYONG
CAYENNE E2;PORSCHE
NEW GRAND CHEROKEE TURBO 3.0;JEEP
REXTON II 4X4 2.7;SSANGYONG
MONTERO SPORT GL 3.0;MITSUBISHI
GRAND CHEROKEE LTD 3.0 AUT;JEEP
NEW CHEROKEE LTD 4X4 3.7 AUT;JEEP
ESCAPE XLT 4X4 2.5;FORD
CRV EXS 4X4 2.4;HONDA
REXTON 4X4 2.7 AUT;SSANGYONG
NEW G CHEROKEE SPORT 4X4 3.7 AUT;JEEP
SCORPIO GLX 4X4 2.2;MAHINDRA
EQ6410 LF;DONGFENG
ESCAPE XLS 2.5;FORD
EXPLORER XLT 4.0;FORD
SCORPIO GLX TURBO 2.2;MAHINDRA
WRANGLER SAHARA CRD 2.8 AUT;JEEP
G500;MERCEDES BENZ
C5 BK HDI 2.0;CITROEN
MONTERO CR 3.2 AUT;MITSUBISHI
HOVER LE 2.4;GREAT WALL MOTORS
FORESTER 2.5 AWD AUT;SUBARU
X1 2.8I LX 3.0 AUT;BMW
REIN 2.0;JAC MOTORS
PILOT EXL 4X4 3.5 AT;HONDA
TAHOE LT II 4WD 5.3 AT;CHEVROLET
SPORTAGE PRO II LX DAB 4X4 AUT;KIA MOTORS
EDGE SE 4X4 3.5 AT;FORD
RAV4 AUT;TOYOTA
X1 20D 2.0 AUT;BMW
MONTERO SPORT 2.5 AUT;MITSUBISHI
SPORTAGE 2.0;KIA MOTORS
GRAND CARNIVAL EX FULL 2.9 AUT;KIA MOTORS
X3 2.5 AUT;BMW
MURANO LE 4X4 3.5;NISSAN
TRIBECA 3.6R AWD LIMITED AT;SUBARU
FORESTER 2.0 AWD AT;SUBARU
TRIBECA 3.6R AWD AUT;SUBARU
TUCSON GL CRDI 4X4 2.0;HYUNDAI
RX 350;LEXUS
MONTERO SPORT G2 GLX 4X4 3.5;MITSUBISHI
NEW TRIBECA 3.6 AWD AT;SUBARU
EXPLORER XLT AUT;FORD
NEW PATHFINDER SE FULL AT;NISSAN
FORESTER 2.0 AWD X;SUBARU
OUTBACK 2.5 AUT;SUBARU
XC70 PLUS 3.2;VOLVO
EDGE 4X4 3.5 AT;FORD
XC70 D5;VOLVO
DURANGO SLT 5.7 AUT;DODGE
JOURNEY SE LX 2.4;DODGE
SANTA FE GL 2.2;HYUNDAI
SPORTAGE LX DAB 4X4 2.0;KIA MOTORS
STAVIC XDI 2.7 AUT;SSANGYONG
GRAND NOMADE GLX 4X4 2.0 AT;SUZUKI
X TRAIL XL 2.5 AUT;NISSAN
PATRIOT SPORT 4X4 2.4 AUT;JEEP
DURANGO SLT 4.7;DODGE
WRANGLER UNLIMITED 4X4 2.8 AUT;JEEP
TERIOS FULL 1.5;DAIHATSU
